Summary,Issue Type,Parent,Project Key
Modelar LibroMayor y AsientoContable con partida doble en el dominio (5h),Subtarea,AYNI-17,AYNI
Implementar la invariante de que los asientos de una transaccion suman cero (3h),Subtarea,AYNI-17,AYNI
"Migracion Flyway de transaccion, asiento_contable y devengo_interes (3h)",Subtarea,AYNI-17,AYNI
Implementar el calculo de devengo diario con ano comercial de 360 dias (5h),Subtarea,AYNI-17,AYNI
Asegurar precision con BigDecimal y redondeo HALF_EVEN en todo el flujo (3h),Subtarea,AYNI-17,AYNI
Implementar la capitalizacion mensual el ultimo dia del mes (4h),Subtarea,AYNI-17,AYNI
Implementar la gestion de tasas con vigencia historica (4h),Subtarea,AYNI-17,AYNI
Programar la ejecucion diaria del proceso de devengo (3h),Subtarea,AYNI-17,AYNI
Mostrar TREA y rendimiento acumulado en la interfaz (3h),Subtarea,AYNI-17,AYNI
"Pruebas de precision: ano bisiesto, saldo cero, cambio de tasa (4h)",Subtarea,AYNI-17,AYNI
Feature de Cucumber con los cuatro escenarios (3h),Subtarea,AYNI-17,AYNI
Implementar la consulta de saldo derivado de los asientos (3h),Subtarea,AYNI-19,AYNI
Anadir saldo_posterior como desnormalizacion deliberada y documentada (2h),Subtarea,AYNI-19,AYNI
"Endpoint paginado de movimientos con filtros por fecha, tipo e importe (4h)",Subtarea,AYNI-19,AYNI
Verificar autorizacion por recurso para impedir acceso a cuentas ajenas (3h),Subtarea,AYNI-19,AYNI
Registrar los intentos de acceso indebido en la auditoria (2h),Subtarea,AYNI-19,AYNI
"Panel principal con saldo, rendimiento del mes y TREA vigente (5h)",Subtarea,AYNI-19,AYNI
Listado de movimientos con filtros y paginacion (5h),Subtarea,AYNI-19,AYNI
Feature de Cucumber con los dos escenarios (2h),Subtarea,AYNI-19,AYNI
Modelar Transferencia y su maquina de estados en el dominio (4h),Subtarea,AYNI-18,AYNI
Implementar el caso de uso con transaccion unica y bloqueo pesimista (5h),Subtarea,AYNI-18,AYNI
